ResponseId,mode,task_id,rating,score,numeracy
R_2AL65P790WkFJKa,affect,1,-1,4,high
R_1luu9XGfu1MSqxp,preference,1,-4,0,low
R_1luu9XGfu1MSqxp,precision,1,1,0,low
R_1luu9XGfu1MSqxp,affect,1,-2,0,low
R_2WARryyIjCys6Pe,preference,1,-4,1,low
R_2WARryyIjCys6Pe,precision,1,2,1,low
R_2WARryyIjCys6Pe,affect,1,-2,1,low
R_emlKMQEoITTXBpD,preference,1,-4,2,low
R_emlKMQEoITTXBpD,precision,1,1,2,low
R_emlKMQEoITTXBpD,affect,1,1,2,low
R_3OqUm2FdB3NhHNA,preference,1,4,2,low
R_3OqUm2FdB3NhHNA,precision,1,2,2,low
R_3OqUm2FdB3NhHNA,affect,1,2,2,low
R_USYbDmkd8GqR2Cd,preference,1,6,4,high
R_USYbDmkd8GqR2Cd,precision,1,6,4,high
R_USYbDmkd8GqR2Cd,affect,1,-1,4,high
R_2VjRzzn8JlJMpmV,preference,1,6,2,low
R_2VjRzzn8JlJMpmV,precision,1,5,2,low
R_2VjRzzn8JlJMpmV,affect,1,-1,2,low
R_1M6yCFuvWPtQTga,preference,1,4,NA,NA
R_1M6yCFuvWPtQTga,precision,1,5,NA,NA
R_1M6yCFuvWPtQTga,affect,1,-1,NA,NA
R_2qwQ3bikx05Ykn4,preference,1,5,4,high
R_2qwQ3bikx05Ykn4,precision,1,4,4,high
R_2qwQ3bikx05Ykn4,affect,1,-1,4,high
R_2R7Emlw2RgRorAm,preference,1,-4,NA,NA
R_2sTJkblWdciXBSV,preference,1,6,2,low
R_2sTJkblWdciXBSV,precision,1,5,2,low
R_2sTJkblWdciXBSV,affect,1,-1,2,low
R_1rpN0rkLd3IAskt,preference,1,2,NA,NA
R_1rpN0rkLd3IAskt,precision,1,2,NA,NA
R_1rpN0rkLd3IAskt,affect,1,-1,NA,NA
